transaction_id,order_datetime,channel,payment_method,voucher_used,customer_id,phone_number,product_id,product_name,product_category,quantity,unit_price,revenue
T_040285,2025-05-05 11:42:00,Website,E-wallet,0,C_04516,944884180,P0028,Beef Pizza Size S,Pizza,1,109000,109000
T_040285,2025-05-05 11:42:00,Website,E-wallet,0,C_04516,944884180,P0047,Garlic Bread,Side Dish,1,39000,39000
T_023018,2025-05-09 16:31:00,Store,E-wallet,0,C_02574,938720125,P0020,Bacon Pizza Size M,Pizza,1,199000,199000
T_023018,2025-05-09 16:31:00,Store,E-wallet,0,C_02574,938720125,P0075,Fanta 1.5L,Drink,2,42000,84000
T_023018,2025-05-09 16:31:00,Store,E-wallet,0,C_02574,938720125,P0075,Fanta 1.5L,Drink,1,42000,42000
T_023018,2025-05-09 16:31:00,Store,E-wallet,0,C_02574,938720125,P0072,Fanta 330ml,Drink,1,39000,39000
T_023018,2025-05-09 16:31:00,Store,E-wallet,0,C_02574,938720125,P0058,Fried Sausage,Side Dish,1,79000,79000
T_023018,2025-05-09 16:31:00,Store,E-wallet,0,C_02574,938720125,P0047,Garlic Bread,Side Dish,2,39000,78000
T_040286,2025-05-09 18:21:00,Store,E-wallet,0,C_04516,944884180,P0031,Tuna Pizza Size S,Pizza,1,119000,119000
T_040286,2025-05-09 18:21:00,Store,E-wallet,0,C_04516,944884180,P0079,Lemon Tea,Drink,1,35000,35000
T_024656,2025-05-09 19:22:00,Store,Cash,0,C_02744,950847821,P0024,Mushroom Pizza Size L,Pizza,1,249000,249000
T_024656,2025-05-09 19:22:00,Store,Cash,0,C_02744,950847821,P0001,Pepperoni Pizza Size S,Pizza,2,99000,198000
T_024656,2025-05-09 19:22:00,Store,Cash,0,C_02744,950847821,P0019,Bacon Pizza Size S,Pizza,1,109000,109000
T_024656,2025-05-09 19:22:00,Store,Cash,0,C_02744,950847821,P0076,Sprite 1.5L,Drink,2,42000,84000
T_024656,2025-05-09 19:22:00,Store,Cash,0,C_02744,950847821,P0081,Mineral Water,Drink,2,20000,40000
T_024656,2025-05-09 19:22:00,Store,Cash,0,C_02744,950847821,P0078,Peach Tea,Drink,3,35000,105000
T_024656,2025-05-09 19:22:00,Store,Cash,0,C_02744,950847821,P0071,Pepsi 330ml,Drink,2,39000,78000
T_024656,2025-05-09 19:22:00,Store,Cash,0,C_02744,950847821,P0052,Chicken Nuggets,Side Dish,1,69000,69000
T_037774,2025-05-11 12:38:00,Store,E-wallet,0,C_04225,930489199,P0073,Sprite 330ml,Drink,2,39000,78000
T_037774,2025-05-11 12:38:00,Store,E-wallet,0,C_04225,930489199,P0076,Sprite 1.5L,Drink,3,42000,126000
